gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
ESPORTSTMNT02/1297408,CK,hyFresh Blade,Jin Air Green Wings,Sett,JarvanIV,Lissandra,Varus,TahmKench,Renekton,Elise,Pantheon,MissFortune,Rakan
ESPORTSTMNT03/1353264,LCL,RoX,Unicorns Of Love.CIS,Sett,LeeSin,Azir,Senna,Nautilus,Ornn,Trundle,Corki,Varus,TahmKench
6551-8841,LDL,Dominus Esports Young,Rogue Warriors Shark,Renekton,Graves,Sylas,Ashe,Lux,Camille,Volibear,Galio,Ezreal,Karma
6456-8514,LDL,Oh My Dream,Top Esports Challenger,Gnar,Ekko,Sylas,Aphelios,Thresh,Volibear,Taliyah,Sett,Varus,Blitzcrank
5666-7275,LPL,Bilibili Gaming,Royal Never Give Up,Aatrox,Nocturne,Rumble,Senna,Braum,Mordekaiser,RekSai,Sylas,MissFortune,Leona
6342-8102,LDL,Suning-S,Joy Dream,Jayce,Ekko,Pantheon,Aphelios,Nautilus,Ornn,LeeSin,Leblanc,Ezreal,Leona
ESPORTSTMNT03/1352996,CK,Team Dynamics,Spear Gaming,Aatrox,Trundle,Malzahar,Varus,Galio,Sett,LeeSin,Zoe,MissFortune,Nautilus
ESPORTSTMNT01/1360791,CBLOL,Vivo Keyd,KaBuM! e-Sports,Pantheon,Sejuani,Akali,Varus,Thresh,Rumble,LeeSin,Leblanc,Aphelios,Braum
6446-8480,LDL,Joy Dream,Top Esports Challenger,Renekton,LeeSin,Diana,Ashe,Nautilus,Ornn,Graves,Karma,Jinx,Thresh
ESPORTSTMNT01/1302635,LCK,T1,DAMWON Gaming,Sett,Gragas,Tristana,MissFortune,Blitzcrank,Kayle,LeeSin,Orianna,Aphelios,Thresh
ESPORTSTMNT01/1310979,PCS,Alpha Esports,Hong Kong Attitude,Aatrox,Gragas,Vayne,MissFortune,Braum,Renekton,Sejuani,Zoe,Ezreal,Ornn
ESPORTSTMNT01/1315379,LCK,Griffin,SANDBOX Gaming,Lucian,Sejuani,Taliyah,Kaisa,Sett,Aatrox,JarvanIV,Azir,Vayne,TahmKench
6330-8060,LDL,V5 87,Shu Dai Xiong Gaming,Jayce,Ekko,Sett,Ezreal,Leona,Camille,Trundle,Azir,Senna,MonkeyKing
ESPORTSTMNT06/1160283,LCL,CrowCrowd,RoX,Gangplank,Trundle,Ornn,Ziggs,Nautilus,Mordekaiser,Olaf,Kassadin,MissFortune,Thresh
ESPORTSTMNT01/1434479,PCS,Alpha Esports,Hong Kong Attitude,MonkeyKing,Graves,Sylas,Kalista,Thresh,Ornn,Sett,Orianna,Senna,Braum
ESPORTSTMNT03/1335631,BRCC,Havan Liberty Gaming,RED Canids,Ornn,RekSai,Zoe,Xayah,Rakan,Mordekaiser,LeeSin,Azir,Aphelios,Braum
ESPORTSTMNT02/1394597,LCS,FlyQuest,Counter Logic Gaming,Sett,Graves,Syndra,Aphelios,Pantheon,Jayce,JarvanIV,Galio,Ezreal,Bard
6529-8774,LDL,V5 87,Team WE Academy,Kennen,Graves,Ekko,Jhin,TahmKench,Sylas,LeeSin,Syndra,Ezreal,Leona
ESPORTSTMNT02/1296579,CK,Element Mystic,OZ Gaming,Aatrox,Olaf,Ryze,Ezreal,Thresh,Sett,LeeSin,Zoe,MissFortune,Blitzcrank
ESPORTSTMNT01/1401225,OPL,Dire Wolves,Legacy Esports,Sett,Ekko,Corki,Aphelios,Yuumi,Ornn,Kindred,Viktor,Ezreal,Soraka
6381-8244,LDL,LNG Academy,Bilibili Gaming Junior,Mordekaiser,Volibear,Rumble,Ezreal,Leona,MonkeyKing,Trundle,Kassadin,Kaisa,Sett
6646-8674,LPL,Dominus Esports,FunPlus Phoenix,Jax,Trundle,Syndra,Caitlyn,Lux,Mordekaiser,Sett,Orianna,Aphelios,Thresh
ESPORTSTMNT02/1292374,LFL,Team MCES,LDLC OL,Kayle,Olaf,Ryze,Aphelios,Nautilus,Sett,LeeSin,Leblanc,Ezreal,Braum
ESPORTSTMNT02/1323005,CK,Seorabeol Gaming,Team Dynamics,Mordekaiser,Elise,Pantheon,Aphelios,Nautilus,Jayce,Sejuani,Zoe,Kalista,Taric
ESPORTSTMNT03/1332642,LCK,DRX,DAMWON Gaming,Aatrox,Olaf,Orianna,Kalista,Volibear,Camille,Sejuani,Zoe,Ezreal,Yuumi
ESPORTSTMNT06/1181005,EM,LDLC OL,AGO ROGUE,Aatrox,LeeSin,Leblanc,Varus,Lulu,Maokai,Trundle,Diana,Ezreal,Yuumi
ESPORTSTMNT04/1250420,LCL,Unicorns Of Love.CIS,CrowCrowd,Volibear,Khazix,Syndra,Ezreal,Thresh,Urgot,Nidalee,Ryze,Ashe,Nautilus
6620-8476,LPL,Rogue Warriors,eStar,Ornn,Graves,Orianna,Varus,Nautilus,Mordekaiser,Kindred,Galio,Kalista,Leona
5657-7255,LPL,eStar,Rogue Warriors,Mordekaiser,Olaf,Taliyah,Aphelios,Leona,Gangplank,Gragas,Lucian,MissFortune,Nautilus
ESPORTSTMNT01/1292354,LCS,Team SoloMid,Counter Logic Gaming,Ornn,Qiyana,Syndra,Xayah,Rakan,Sylas,Olaf,Leblanc,Senna,TahmKench
ESPORTSTMNT03/1392254,OCS,QUT Tigers,ORDER Academy,Sylas,Poppy,Syndra,Varus,Karma,Ornn,JarvanIV,Orianna,Ezreal,Yuumi
ESPORTSTMNT02/1270607,LCS,Immortals,FlyQuest,Aatrox,Trundle,Lucian,Cassiopeia,Thresh,Riven,LeeSin,Viktor,Senna,Blitzcrank
6215-7874,LPL,FunPlus Phoenix,Bilibili Gaming,Quinn,Olaf,Karma,Aphelios,Nautilus,Renekton,Nidalee,Azir,Ashe,Leona
ESPORTSTMNT04/1250198,TCL,Royal Youth,Dark Passage,Mordekaiser,Trundle,Syndra,Jinx,Thresh,Aatrox,Volibear,Orianna,Aphelios,Nautilus
6649-8683,LPL,Oh My God,Team WE,MonkeyKing,Trundle,Azir,Ashe,Taric,Hecarim,Volibear,Sylas,Ezreal,Nautilus
6129-7769,LPL,FunPlus Phoenix,JD Gaming,Renekton,LeeSin,Ryze,Aphelios,Thresh,Sett,Trundle,Syndra,MissFortune,Nautilus
ESPORTSTMNT06/1170791,LCS.A,FlyQuest Academy,Cloud9 Academy,Aatrox,LeeSin,Leblanc,Senna,Nautilus,Camille,JarvanIV,Zoe,MissFortune,Shen
ESPORTSTMNT01/1425993,VCS,Team Secret,OverPower Esports,Lucian,Shyvana,Irelia,Ashe,TahmKench,Renekton,Elise,Ryze,Kalista,Pantheon
ESPORTSTMNT02/1382418,LCS,FlyQuest,Dignitas,Ornn,Trundle,Orianna,Ezreal,Rakan,Volibear,Nidalee,TwistedFate,Ashe,Thresh
6331-8073,LDL,Team WE Academy,Young Miracles,Renekton,Nidalee,Diana,Ezreal,Yuumi,Ornn,Graves,Syndra,Kaisa,Bard
6344-8119,LDL,All Combo,Royal Club,MonkeyKing,Olaf,Fiddlesticks,Xayah,Nautilus,Renekton,Gragas,Aatrox,Kaisa,Sett
ESPORTSTMNT05/1540336,LEC,G2 Esports,SK Gaming,Chogath,LeeSin,Syndra,Jhin,Nautilus,Sion,Fiddlesticks,Orianna,Caitlyn,Thresh
ESPORTSTMNT02/1401336,OPL,Avant Gaming,Chiefs Esports Club,Kennen,Volibear,Zoe,Kalista,Rakan,Sylas,Jax,Leblanc,Ashe,Braum
ESPORTSTMNT01/1321427,CBLOL,Redemption eSports Porto Alegre,paiN Gaming,Rumble,Pantheon,Lucian,Kaisa,Galio,Renekton,Elise,Cassiopeia,Ezreal,Nautilus
6621-8479,LPL,Bilibili Gaming,Team WE,MonkeyKing,Nidalee,TwistedFate,Ashe,TahmKench,Hecarim,Volibear,Karma,Aphelios,Thresh
6534-8785,LDL,All Combo,Young Miracles,Akali,Taliyah,Sett,Ashe,Nautilus,MonkeyKing,Graves,Leblanc,Jhin,Leona
ESPORTSTMNT01/1320593,LFL,Vitality.Bee,GamersOrigin,Mordekaiser,JarvanIV,Ryze,Ezreal,Yuumi,Renekton,Gragas,Zoe,Aphelios,Thresh
ESPORTSTMNT03/1411806,LLA,Rainbow7,Infinity Esports,Aatrox,LeeSin,Zoe,Ashe,Karma,Gangplank,Volibear,Orianna,Ezreal,Braum
6100-7584,LDL,Rogue Warriors Shark,Royal Club,Malphite,Sett,Syndra,Kaisa,Thresh,MonkeyKing,Sylas,Galio,Varus,Blitzcrank
ESPORTSTMNT03/1334407,PCS,Liyab Esports,Machi Esports,Aatrox,Olaf,Zoe,Kaisa,Thresh,Mordekaiser,JarvanIV,Syndra,Ezreal,TahmKench
ESPORTSTMNT01/1306124,LCK,Griffin,SeolHaeOne Prince,Ornn,Gragas,Lucian,Senna,TahmKench,Illaoi,Olaf,Qiyana,MissFortune,Braum
6399-8318,LDL,JingNetGame,Team WE Academy,Renekton,LeeSin,Syndra,Aphelios,Nautilus,Ornn,RekSai,Leblanc,Ashe,Braum
6385-8259,LDL,LGD Gaming Young Team,Top Esports Challenger,Ornn,Graves,Rumble,Varus,Nautilus,Renekton,Nidalee,Galio,Ashe,TahmKench
ESPORTSTMNT02/1414022,LLA,Rainbow7,Isurus,Aatrox,Trundle,Zoe,Caitlyn,Morgana,Gangplank,Sett,Leblanc,Kalista,Thresh
ESPORTSTMNT01/1324430,LCS,Counter Logic Gaming,Cloud9,Jayce,RekSai,Rumble,Varus,TahmKench,Irelia,Gragas,Yasuo,Aphelios,Bard
ESPORTSTMNT06/1170837,LCS,Immortals,Team Liquid,Renekton,Gragas,Qiyana,Aphelios,TahmKench,Zac,Olaf,Zoe,MissFortune,Nautilus
ESPORTSTMNT01/1323432,PCS,Nova Esports,ahq eSports Club,Kalista,Sejuani,Orianna,Varus,Karma,Aatrox,JarvanIV,Syndra,Senna,TahmKench
ESPORTSTMNT06/1320313,EM,LDLC OL,LowLandLions,Camille,Hecarim,Syndra,Kalista,Alistar,Aatrox,RekSai,Ekko,Draven,Janna
ESPORTSTMNT02/1394402,LCK,Team Dynamics,Hanwha Life Esports,Jayce,Trundle,Leblanc,Kalista,Galio,Volibear,Taliyah,Syndra,Xayah,Rakan
6714-8983,LDL,Joy Dream,Shu Dai Xiong Gaming,Renekton,Volibear,TwistedFate,Ashe,Thresh,Jax,Karthus,Lucian,Jhin,Nautilus
ESPORTSTMNT03/1331180,LCS,Team Liquid,Team SoloMid,Sett,Gragas,Zoe,MissFortune,Braum,Kayle,Sejuani,Maokai,Varus,TahmKench
6047-7476,LPL,EDward Gaming,Dominus Esports,Sett,Sejuani,Azir,Varus,Braum,Renekton,Nidalee,Neeko,Kaisa,Nautilus
ESPORTSTMNT02/1332622,VCS,Saigon Buffalo,EVOS Esports,Maokai,Trundle,Cassiopeia,Kalista,Taric,Sett,Nidalee,Zilean,Aphelios,Braum
ESPORTSTMNT06/1230039,EM,LDLC OL,K1ck Neosurf,Sett,Trundle,Leblanc,Ezreal,Bard,Mordekaiser,LeeSin,Corki,MissFortune,Braum
6341-8103,LDL,JingNetGame,LGD Gaming Young Team,Kennen,Graves,Akali,Aphelios,Sett,Renekton,Nidalee,Qiyana,Varus,Braum
6255-8184,LPL,JD Gaming,Team WE,Volibear,LeeSin,Syndra,Aphelios,Leona,Renekton,Graves,AurelionSol,Ashe,Thresh
ESPORTSTMNT02/1394913,LLA,Rainbow7,XTEN Esports,Aatrox,Sett,Azir,Aphelios,Karma,MonkeyKing,JarvanIV,Orianna,Ezreal,Thresh
ESPORTSTMNT03/1405360,BRCC,Havan Liberty Gaming,Falkol,MonkeyKing,LeeSin,Akali,Aphelios,Thresh,Renekton,Graves,Azir,Ashe,Nautilus
ESPORTSTMNT01/1436531,VCS,CERBERUS Esports,EVOS Esports,Volibear,Graves,Syndra,Caitlyn,Lux,MonkeyKing,Olaf,Orianna,Senna,Karma
ESPORTSTMNT05/1430079,LEC,Rogue,SK Gaming,Maokai,Sejuani,Irelia,Aphelios,Sett,Gangplank,LeeSin,Leblanc,Varus,Thresh
ESPORTSTMNT01/1306343,LCK,Afreeca Freecs,DRX,Sett,Karthus,Pantheon,Varus,Braum,Renekton,Elise,Zoe,MissFortune,Senna
ESPORTSTMNT02/1283124,LCK,Griffin,DAMWON Gaming,Renekton,Sejuani,Azir,MissFortune,Thresh,Aatrox,JarvanIV,Corki,Lucian,Yuumi
ESPORTSTMNT03/1404479,LCK,Afreeca Freecs,SeolHaeOne Prince,Gnar,Poppy,Zoe,Ezreal,TahmKench,Aatrox,Nidalee,Orianna,Ashe,Zyra
ESPORTSTMNT03/1412137,LLA,Isurus,Infinity Esports,Mordekaiser,Trundle,Zoe,Aphelios,Sett,Camille,LeeSin,Syndra,Senna,TahmKench
ESPORTSTMNT03/1350657,OPL,ORDER,Avant Gaming,Renekton,Nidalee,Sylas,Aphelios,Nautilus,Akali,Karthus,Lucian,MissFortune,Thresh
ESPORTSTMNT06/1180357,EM,ASUS ROG ELITE,Vipers Inc,Sylas,LeeSin,Qiyana,Ziggs,Sett,Jax,Trundle,Ornn,Kaisa,Leona
5978-7366,LPL,Vici Gaming,Top Esports,Maokai,JarvanIV,Leblanc,Varus,Thresh,Kayle,LeeSin,Lissandra,MissFortune,Nautilus
ESPORTSTMNT03/1320885,LCS.A,Team Liquid Academy,Immortals Academy,Gangplank,JarvanIV,Ziggs,MissFortune,Thresh,Yorick,Diana,Sett,Lucian,Taric
ESPORTSTMNT02/1414132,VCS,Percent Esports,CERBERUS Esports,Renekton,Lillia,Sett,Ezreal,Yuumi,Kennen,Volibear,Orianna,Caitlyn,Morgana
ESPORTSTMNT01/1413197,OCS,UTS Esports,Legacy Genesis,MonkeyKing,RekSai,Karma,Ashe,Nautilus,Mordekaiser,Fiddlesticks,Nocturne,Ezreal,Bard
ESPORTSTMNT01/1325195,LCK,SeolHaeOne Prince,T1,Ornn,Elise,Irelia,Kaisa,Nautilus,Sylas,Trundle,Azir,MissFortune,Taric
6644-8657,LPL,Team WE,eStar,MonkeyKing,Sett,Sylas,Ezreal,Leona,Renekton,Volibear,Azir,Ashe,Bard
6069-7555,LPL,FunPlus Phoenix,Vici Gaming,Sylas,RekSai,Renekton,Varus,Braum,Ornn,Ekko,Aatrox,MissFortune,Nautilus
ESPORTSTMNT04/1230436,TRA,Royal Youth Academy,5 Ronin Academy,Aatrox,RekSai,Zoe,Ezreal,Sett,Ornn,LeeSin,Cassiopeia,Aphelios,Rakan
ESPORTSTMNT03/1352317,LLA,All Knights,XTEN Esports,Gangplank,Trundle,Azir,Varus,Bard,Ornn,JarvanIV,Corki,Senna,TahmKench
ESPORTSTMNT03/1341224,BRCC,Havan Liberty Gaming,Intergalaxy Tigers Gaming,Pantheon,LeeSin,Corki,Aphelios,Thresh,Zac,Olaf,Talon,Akali,Bard
ESPORTSTMNT06/1190909,EM,FC Schalke 04 Evolution,Team Singularity,Ornn,LeeSin,Zoe,Senna,TahmKench,Camille,Sejuani,Azir,Vayne,Lulu
ESPORTSTMNT06/1310192,EM,G2 Arctic,LowLandLions,Renekton,Sejuani,Zoe,Caitlyn,Lux,Ornn,Nidalee,Orianna,Lucian,Blitzcrank
ESPORTSTMNT02/1334877,LCK,Hanwha Life Esports,Gen.G,Gnar,Elise,Zoe,Kalista,Taric,Aatrox,Trundle,Azir,Aphelios,Braum
6521-8744,LDL,V5 87,Vici Gaming Potential,Camille,Volibear,Syndra,Ezreal,TahmKench,Renekton,Nidalee,Leblanc,Kaisa,Leona
6309-7998,LDL,Rogue Warriors Shark,Victorious Gaming,Ornn,Trundle,Leblanc,Ezreal,Leona,Renekton,LeeSin,Galio,Aphelios,Thresh
6286-7909,LDL,Rogue Warriors Shark,V5 87,MonkeyKing,RekSai,Galio,MissFortune,Thresh,Renekton,Graves,Corki,Ezreal,Bard
ESPORTSTMNT01/1403480,LCS.A,TSM Academy,Team Liquid Academy,Gangplank,Trundle,Zoe,Aphelios,Braum,Aatrox,Kindred,Lulu,Syndra,Nautilus
ESPORTSTMNT02/1261482,VCS,FTV Esports,Team Flash,Akali,Khazix,Aatrox,Senna,TahmKench,Fiora,Nidalee,Ryze,Xayah,Blitzcrank
ESPORTSTMNT01/1325250,LCK,DAMWON Gaming,Gen.G,Jayce,Sylas,Zoe,Kalista,Taric,Akali,JarvanIV,Leblanc,Kaisa,Sett
6097-7680,LPL,Invictus Gaming,LNG Esports,Kalista,LeeSin,Syndra,Ezreal,Braum,Aatrox,RekSai,Zoe,Aphelios,Rakan
ESPORTSTMNT06/1310886,LEC,G2 Esports,Fnatic,Camille,Shen,Leblanc,Ashe,Braum,Gangplank,Gragas,Orianna,Jhin,Nautilus
ESPORTSTMNT02/1323067,LCK,Griffin,T1,Rumble,RekSai,Sylas,Varus,TahmKench,Renekton,Trundle,Azir,Senna,Nautilus
ESPORTSTMNT02/1385355,CBLOL,KaBuM! e-Sports,Prodigy Esports,Jayce,Nidalee,Orianna,Senna,Maokai,Camille,Sett,Syndra,Aphelios,Lulu
ESPORTSTMNT03/1352020,CK,Element Mystic,Jin Air Green Wings,Sylas,RekSai,Varus,Aphelios,Pyke,Mordekaiser,JarvanIV,Azir,Kalista,Galio
6056-7497,LPL,Victory Five,Suning,MonkeyKing,LeeSin,Rumble,Varus,Nautilus,Aatrox,JarvanIV,Sylas,MissFortune,Thresh
ESPORTSTMNT05/1510605,LEC,SK Gaming,Team Vitality,Ornn,Volibear,Azir,MissFortune,Yuumi,Maokai,Olaf,Corki,Aphelios,Lulu
ESPORTSTMNT02/1403182,OCS,Legacy Genesis,Mammoth Academy,Renekton,Khazix,Karma,Kaisa,Taric,Fiora,Volibear,Lissandra,Ezreal,Nautilus
ESPORTSTMNT02/1334694,LCK,DAMWON Gaming,DRX,Sett,Sejuani,Zilean,MissFortune,Yuumi,Renekton,Olaf,Azir,Ezreal,Nami
ESPORTSTMNT01/1421812,LCS,Team Liquid,Evil Geniuses,Mordekaiser,LeeSin,Azir,Kalista,Bard,Karma,Sett,Orianna,Senna,Braum
5956-7314,LPL,eStar,Suning,Rumble,Sejuani,Lucian,Kalista,Braum,Renekton,JarvanIV,Azir,MissFortune,Nautilus
ESPORTSTMNT03/1341039,LLA,All Knights,Pixel Esports Club,Gangplank,Ekko,Azir,Senna,TahmKench,Rumble,JarvanIV,Velkoz,Kindred,Taric
ESPORTSTMNT01/1432034,CBLOL,FURIA Esports,paiN Gaming,Renekton,Sett,Zoe,Ashe,Bard,Mordekaiser,LeeSin,Syndra,Senna,Rakan
ESPORTSTMNT03/1430959,LLA,Azules Esports,Rainbow7,Gangplank,Volibear,Orianna,Ashe,Thresh,Aatrox,Nidalee,Tristana,Caitlyn,Karma
6106-7604,LDL,Suning-S,All Combo,Sett,Kindred,Sylas,Senna,TahmKench,Neeko,Trundle,Syndra,MissFortune,Thresh
6139-7662,LDL,Team WE Academy,Joy Dream,Renekton,Olaf,Diana,Varus,Taric,Gnar,Elise,Leblanc,Aphelios,Braum
ESPORTSTMNT06/1310183,EM,Racoon,Iron Wolves,Urgot,LeeSin,Akali,Taliyah,Nautilus,Malphite,Nocturne,TwistedFate,Senna,Leona
ESPORTSTMNT01/1321252,PCS,Hong Kong Attitude,Machi Esports,Ornn,RekSai,Zoe,Lucian,Braum,Aatrox,JarvanIV,Orianna,MissFortune,Bard
ESPORTSTMNT03/1392576,MSC,Gen.G,Top Esports,Kennen,Graves,Azir,Ezreal,Taric,Jayce,RekSai,Zoe,Aphelios,Thresh
ESPORTSTMNT02/1331801,LCS,Golden Guardians,Dignitas,Sett,JarvanIV,Zoe,Varus,Braum,Renekton,Pantheon,Viktor,Ashe,TahmKench
6589-8249,LPL,JD Gaming,EDward Gaming,Volibear,RekSai,Leblanc,Ashe,Braum,Ornn,LeeSin,Galio,Aphelios,Leona
6044-7467,LPL,LGD Gaming,Team WE,Renekton,Sejuani,Zoe,Aphelios,Braum,Ornn,JarvanIV,Azir,MissFortune,Leona
5668-7283,LPL,EDward Gaming,Top Esports,Vladimir,Elise,Pantheon,Aphelios,Nautilus,Ornn,LeeSin,Viktor,Varus,TahmKench
ESPORTSTMNT01/1296710,LCK,T1,Gen.G,Ornn,RekSai,Rumble,MissFortune,Morgana,Camille,Gragas,Galio,Xayah,Rakan
ESPORTSTMNT06/1190962,EM,K1ck Neosurf,FC Schalke 04 Evolution,Aatrox,LeeSin,Zoe,Varus,Thresh,Ornn,RekSai,Leblanc,MissFortune,Nautilus
6715-8991,LDL,Invictus Gaming Young,LGD Gaming Young Team,Renekton,Hecarim,TwistedFate,Caitlyn,Taric,Gnar,LeeSin,Zoe,Ashe,Janna
6512-8711,LDL,EDG Youth Team,Suning-S,Camille,Sett,Orianna,Kaisa,Nautilus,Renekton,Ekko,Pantheon,Aphelios,Braum
ESPORTSTMNT06/1320408,EM,G2 Arctic,Team GamerLegion,Shen,Olaf,Orianna,Ezreal,Yuumi,Mordekaiser,Volibear,Lucian,Velkoz,Leona
ESPORTSTMNT02/1332692,VCS,GAM Esports,FTV Esports,Irelia,Nidalee,Pantheon,Galio,Senna,Sylas,LeeSin,Ornn,Kalista,TahmKench
6200-7809,LPL,EDward Gaming,Team WE,Aatrox,LeeSin,Syndra,Kalista,Thresh,Renekton,Trundle,Galio,Ashe,Sett
ESPORTSTMNT06/1180443,TRA,Beşiktaş Academy,5 Ronin Academy,Neeko,Pantheon,Sylas,Kalista,Nautilus,Ziggs,Trundle,Zoe,Vayne,Thresh
ESPORTSTMNT03/1404342,LCS,FlyQuest,100 Thieves,Renekton,Olaf,Orianna,Ezreal,Rakan,Jayce,Nidalee,Syndra,Kalista,Sett
ESPORTSTMNT04/1250429,LCL,Dragon Army,One Breath Gaming,Ornn,Fiddlesticks,Jayce,Ezreal,Nautilus,Volibear,LeeSin,Syndra,Kalista,Bard
ESPORTSTMNT04/1130489,CK,Seorabeol Gaming,hyFresh Blade,Aatrox,RekSai,Rumble,Aphelios,Braum,Ornn,JarvanIV,Zoe,Varus,TahmKench
ESPORTSTMNT02/1395986,CK,Awesome Spear,Griffin,Jayce,RekSai,Karma,Ezreal,Braum,Volibear,Kayn,Ryze,Kaisa,Nautilus
ESPORTSTMNT02/1384620,LCS.A,Dignitas Academy,Team Liquid Academy,Sett,RekSai,Leblanc,Aphelios,Thresh,Volibear,LeeSin,Corki,Ezreal,Karma
ESPORTSTMNT02/1287054,VCS,GAM Esports,Saigon Buffalo,Ornn,Shyvana,Lucian,Caitlyn,Karma,Vladimir,JarvanIV,Rumble,Senna,TahmKench
ESPORTSTMNT03/1382486,Riot,Machi Esports,Team Flash,Renekton,LeeSin,Leblanc,Aphelios,Thresh,Aatrox,Olaf,Lissandra,Syndra,Nautilus
ESPORTSTMNT02/1413482,OPL,ORDER,MAMMOTH,Renekton,Nidalee,Ryze,Ashe,Nautilus,Gangplank,LeeSin,Ahri,Caitlyn,Lux
ESPORTSTMNT02/1414483,BRCC,Havan Liberty Gaming,RED Canids,Ornn,Graves,Leblanc,Ashe,Karma,Vladimir,Sett,Zoe,Ezreal,Bard
6057-7499,LPL,Oh My God,Vici Gaming,Mordekaiser,LeeSin,Syndra,Kalista,Taric,Sett,RekSai,Sylas,Senna,TahmKench
6148-7699,LDL,FunPlus Phoenix Blaze,Invictus Gaming Young,Renekton,Elise,Jayce,Varus,Braum,Ornn,Gragas,Zoe,Kalista,Bard
ESPORTSTMNT02/1283659,OPL,ORDER,Gravitas,Sett,Olaf,Zoe,MissFortune,Yuumi,Soraka,Ekko,Orianna,Varus,Braum
6127-7753,LPL,FunPlus Phoenix,EDward Gaming,Poppy,Trundle,Ryze,MissFortune,Leona,Aatrox,LeeSin,Kassadin,Kalista,Taric
ESPORTSTMNT03/1401708,OPL,Legacy Esports,Gravitas,Kayle,Trundle,Galio,Ezreal,Karma,Ornn,Volibear,Vladimir,Ashe,Thresh
ESPORTSTMNT05/1520598,TCL,Galakticos,1907 Fenerbahçe Esports,Ornn,Olaf,Orianna,Ezreal,Karma,Aatrox,Sett,Ekko,Sivir,Yuumi
6220-7924,LPL,eStar,Bilibili Gaming,Mordekaiser,Ekko,Sett,Ezreal,Blitzcrank,Ornn,Trundle,Corki,Aphelios,Thresh
ESPORTSTMNT03/1440719,LCS.A,Golden Guardians Academy,CLG Academy,MonkeyKing,Trundle,Azir,Caitlyn,Morgana,Mordekaiser,Olaf,Orianna,Ashe,Senna
ESPORTSTMNT05/1510549,TRA,1907 Fenerbahçe Academy,Royal Youth Academy,Aatrox,Elise,Syndra,Kalista,Nautilus,MonkeyKing,Shaco,Orianna,Ezreal,Thresh
ESPORTSTMNT02/1385372,LLA,Pixel Esports Club,Rainbow7,Sett,JarvanIV,Ziggs,MissFortune,Yuumi,Renekton,Trundle,TwistedFate,Aphelios,Braum
ESPORTSTMNT05/1400217,LEC,G2 Esports,FC Schalke 04 Esports,Ornn,LeeSin,Ryze,Aphelios,Nautilus,Aatrox,Gragas,Cassiopeia,Ezreal,Rakan
ESPORTSTMNT01/1294417,LCK,Griffin,Gen.G,Sett,JarvanIV,Syndra,MissFortune,Braum,Ornn,RekSai,Zoe,Aphelios,Bard
ESPORTSTMNT06/1170273,TCL,5 Ronin,1907 Fenerbahçe Esports,Camille,Sejuani,Cassiopeia,Varus,TahmKench,Lucian,Elise,Leblanc,MissFortune,Braum
6407-8336,LDL,Young Miracles,Top Esports Challenger,Sion,LeeSin,Leblanc,Aphelios,Nautilus,Renekton,Nidalee,Poppy,Ashe,Braum
ESPORTSTMNT01/1313832,LJL,V3 Esports,AXIZ,Aatrox,RekSai,Ekko,Kalista,Sett,Camille,LeeSin,Orianna,MissFortune,Thresh
ESPORTSTMNT03/1433005,LLA,Rainbow7,All Knights,Shen,Volibear,Akali,Senna,Rakan,Jayce,Skarner,Azir,Ezreal,Bard
6577-8909,LDL,Oh My Dream,Rogue Warriors Shark,Lucian,Ekko,Sylas,Draven,Leona,Akali,Trundle,Qiyana,Ashe,Braum
ESPORTSTMNT03/1333210,CK,Jin Air Green Wings,Spear Gaming,Mordekaiser,RekSai,Leblanc,Kalista,Thresh,Sett,LeeSin,Malzahar,Ezreal,TahmKench
ESPORTSTMNT03/1404514,PCS,Nova Esports,Alpha Esports,Irelia,LeeSin,Orianna,Ashe,Thresh,MonkeyKing,Ekko,Sett,Ezreal,Braum
ESPORTSTMNT06/1210092,EM,GamersOrigin,Team GamerLegion,Shen,Graves,Syndra,Varus,Blitzcrank,Renekton,Sylas,Yasuo,Senna,TahmKench
6272-7864,LDL,Legend Esport Gaming,V5 87,MonkeyKing,Karthus,Galio,Caitlyn,Morgana,Renekton,Kindred,Karma,Ezreal,Yuumi
ESPORTSTMNT03/1430942,LCS,Dignitas,Team SoloMid,Renekton,Olaf,Orianna,Senna,Braum,Shen,Sett,Syndra,Aphelios,Karma
ESPORTSTMNT03/1301300,CBLOL,INTZ,paiN Gaming,Rumble,Trundle,Cassiopeia,Senna,Braum,Mordekaiser,JarvanIV,Leblanc,Aphelios,Thresh
ESPORTSTMNT03/1404461,VCS,Percent Esports,EVOS Esports,Rumble,JarvanIV,Syndra,Kalista,Blitzcrank,MonkeyKing,Trundle,Galio,Varus,Thresh
ESPORTSTMNT06/1230032,EM,LDLC OL,AGO ROGUE,Maokai,Graves,Akali,Varus,Braum,Ornn,JarvanIV,Orianna,Ezreal,Bard
ESPORTSTMNT01/1423360,OCS,Chiefs Academy,Legacy Genesis,Ornn,Sett,Orianna,Ezreal,Karma,Camille,JarvanIV,Fiddlesticks,Ashe,Bard
6468-8554,LDL,eStar Young,Top Esports Challenger,Poppy,Graves,Leblanc,Ashe,Leona,Mordekaiser,RekSai,Ekko,Aphelios,Nautilus
